商品代码,买/卖,类型,数量,已成交数量,限价,止损价,成交均价,状态,更新时间,总盈亏,净盈亏,佣金,隔夜利息,股息,订单编号
USDJPY,买入,止盈,25000,0,156.65,,,已取消,2025-11-20 18:56:28,,,,,,907844353
USDJPY,买入,止损,25000,25000,,157.395,157.395,已成交,2025-11-20 18:56:28,,,,,,907844352
USDJPY,卖出,市价,25000,25000,,,157.265,已成交,2025-11-20 18:56:28,-20.65,-20.65,0.00,0.00,0.00,115060160
XAUUSD,买入,止盈,2,0,4001.45,,,已取消,2025-11-20 16:57:29,,,,,,907843357
XAUUSD,买入,止损,2,2,,4065.41,4066.86,已成交,2025-11-20 16:57:29,,,,,,907843358
XAUUSD,卖出,市价,2,2,,,4070.2,已成交,2025-11-20 16:57:29,6.68,6.68,0.00,0.00,0.00,115057030
USDJPY,买入,止盈,50000,0,151.196,,,已取消,2025-11-20 16:23:40,,,,,,907844076
USDJPY,买入,止损,50000,50000,,157.378,157.38,已成交,2025-11-20 16:23:40,,,,,,907844075
USDJPY,卖出,市价,50000,50000,,,157.378,已成交,2025-11-20 16:23:40,-0.64,-0.64,0.00,0.00,0.00,115059684
USDJPY,卖出,止盈,10000,0,158.832,,,已取消,2025-11-20 16:04:11,,,,,,907841955
USDJPY,卖出,止损,10000,0,,157.346,,已取消,2025-11-20 16:04:11,,,,,,907841952
USDJPY,买入,市价,10000,10000,,,157.465,已成交,2025-11-20 16:04:11,-4.51,-4.51,0.00,0.00,0.00,115056216
XAUUSD,买入,止盈,2,2,4075.15,,4075.17,已成交,2025-11-20 10:01:17,,,,,,907841788
XAUUSD,买入,止损,2,0,,4101.05,,已取消,2025-11-20 10:01:17,,,,,,907841787
XAUUSD,卖出,市价,2,2,,,4091.83,已成交,2025-11-20 10:01:17,33.32,33.32,0.00,0.00,0.00,115055895
XAUUSD,卖出,止损,1,0,,4071.92,,已取消,2025-11-20 09:31:56,,,,,,907840979
XAUUSD,买入,市价,1,1,,,4070.13,已成交,2025-11-20 09:31:56,21.37,19.40,0.00,-1.97,0.00,115040603
XAUUSD,卖出,止盈,1,0,4149.28,,,已取消,2025-11-20 09:31:56,,,,,,907828797
XAUUSD,买入,市价,1,1,,,4070.13,已成交,2025-11-19 19:14:00,39.23,39.23,0.00,0.00,0.00,115034416
XAUUSD,卖出,止盈,5,0,4106.85,,,已取消,2025-11-19 12:01:37,,,,,,907828373
XAUUSD,卖出,止损,5,5,,4064.85,4064.98,已成交,2025-11-19 12:01:37,,,,,,907828382
XAUUSD,买入,市价,5,5,,,4077.5,已成交,2025-11-19 12:01:37,-62.60,-62.60,0.00,0.00,0.00,115033738
XAUUSD,买入,止盈,2,0,4030.41,,,已取消,2025-11-19 10:36:39,,,,,,907828122
XAUUSD,买入,止损,2,0,,4075.04,,已取消,2025-11-19 10:36:39,,,,,,907828121
XAUUSD,卖出,市价,2,2,,,4061.05,已成交,2025-11-19 10:36:39,-24.60,-24.60,0.00,0.00,0.00,115033172
XAUUSD,卖出,止盈,2,0,4149.21,,,已取消,2025-11-19 08:52:58,,,,,,907823976
XAUUSD,卖出,止损,2,2,,4068.48,4068.12,已成交,2025-11-19 08:52:58,,,,,,907824924
XAUUSD,买入,市价,2,2,,,4067.54,已成交,2025-11-19 08:52:58,1.16,-0.16,0.00,-1.32,0.00,115025694
XAUUSD,买入,市价,2,2,,,4068.47,已成交,2025-11-18 23:05:15,-23.40,-23.40,0.00,0.00,0.00,115019526
XAUUSD,买入,止盈,5,0,4018.51,,,已取消,2025-11-18 21:01:11,,,,,,907819357
XAUUSD,买入,止损,5,0,,4043.53,,已取消,2025-11-18 21:01:11,,,,,,907819356
XAUUSD,卖出,市价,5,5,,,4037.4,已成交,2025-11-18 21:01:11,1.00,1.00,0.00,0.00,0.00,115017847
XAUUSD,卖出,止盈,2,0,4077.62,,,已取消,2025-11-18 20:23:52,,,,,,907817498
XAUUSD,卖出,止损,2,0,,4034.06,,已取消,2025-11-18 20:23:52,,,,,,907817499
XAUUSD,买入,市价,2,2,,,4041.73,已成交,2025-11-18 20:23:52,-5.84,-5.84,0.00,0.00,0.00,115014909
XAUUSD,买入,止盈,2,0,3991.14,,,已取消,2025-11-18 15:40:44,,,,,,907816568
XAUUSD,买入,止损,2,2,,4010.39,4010.31,已成交,2025-11-18 15:40:44,,,,,,907816565
XAUUSD,卖出,市价,2,2,,,4003.66,已成交,2025-11-18 15:40:44,-13.30,-13.30,0.00,0.00,0.00,115013231
XAUUSD,买入,止损,2,2,,4018.54,4018.59,已成交,2025-11-18 13:21:33,,,,,,907814504
XAUUSD,卖出,市价,2,2,,,4035.44,已成交,2025-11-18 13:21:33,33.70,33.70,0.00,0.00,0.00,115009245
XAUUSD,买入,止盈,2,0,3919.26,,,已取消,2025-11-18 07:27:05,,,,,,907813881
XAUUSD,买入,跟踪止损,2,0,,4070.39,,已取消,2025-11-18 07:27:05,,,,,,907814002
XAUUSD,卖出,市价,2,2,,,4061.14,已成交,2025-11-18 07:27:05,21.32,21.78,0.00,0.46,0.00,115000243
XAUUSD,买入,市价,2,2,,,4083.22,已成交,2025-11-17 21:34:35,-13.82,-13.82,0.00,0.00,0.00,114996399
XAUUSD,买入,市价,3,3,,,4083.22,已成交,2025-11-17 20:51:51,-18.84,-18.84,0.00,0.00,0.00,114996296
